AREA,Vict Age,Vict Descent,Crm Cd,Premis Cd,Status,dayofweek,day,month,Vict_Sex_F,Vict_Sex_M,Vict_Sex_X
19,60,7,354,501,4,4,5,8,0,1,0
1,63,2,354,501,4,1,1,11,1,0,0
19,17,7,624,108,4,3,14,4,0,1,0
13,16,7,624,102,4,5,23,7,1,0,0
1,68,7,624,502,2,6,25,12,0,1,0
4,36,7,230,103,4,5,17,9,0,1,0
2,36,17,230,207,2,5,1,1,0,1,0
7,74,2,330,101,1,4,25,2,0,1,0
16,45,7,440,210,4,1,1,2,0,1,0
1,68,2,320,502,4,1,26,7,0,1,0
3,31,2,440,501,4,3,6,10,1,0,0
15,40,7,930,101,2,2,18,5,0,1,0
4,42,7,956,501,4,4,18,2,1,0,0
9,34,7,930,503,2,2,13,7,1,0,0
15,39,12,354,710,4,3,10,11,0,0,1
8,54,17,354,501,4,5,17,12,0,1,0
2,32,7,230,102,4,5,17,9,0,1,0
6,67,12,888,501,4,6,17,7,0,1,0
8,17,7,354,501,4,0,4,4,1,0,0
11,58,17,626,502,1,4,18,3,0,1,0
17,27,7,930,101,2,1,13,9,1,0,0
12,36,7,354,501,4,4,2,12,1,0,0
10,28,7,626,502,2,1,13,12,1,0,0
21,23,17,230,207,4,3,5,5,0,1,0
1,81,2,210,102,4,3,17,3,0,1,0
20,41,17,331,101,4,1,12,4,0,1,0
15,40,7,420,101,4,3,31,3,1,0,0
19,21,7,251,505,1,0,19,12,1,0,0
9,31,7,901,108,2,1,22,2,1,0,0
16,72,7,354,501,4,0,6,6,1,0,0
10,28,1,331,101,4,2,23,11,0,1,0
4,44,7,624,210,4,2,13,7,1,0,0
7,45,12,331,502,4,6,27,11,1,0,0
9,14,7,761,102,4,4,22,4,0,1,0
8,24,1,341,502,4,5,5,2,0,1,0
21,47,7,664,502,4,2,2,2,0,1,0
9,23,2,662,502,4,2,24,8,1,0,0
7,31,7,901,501,1,6,25,12,1,0,0
16,47,18,946,101,1,3,6,10,0,1,0
11,53,7,761,108,2,2,10,8,0,1,0
20,57,12,740,102,4,6,6,2,0,1,0
1,24,7,442,405,4,6,18,9,0,1,0
2,30,7,888,502,4,6,21,8,0,1,0
16,34,7,740,501,4,0,30,5,1,0,0
20,34,7,626,101,2,3,22,12,1,0,0
6,25,17,330,108,4,4,10,6,1,0,0
13,20,2,510,101,2,4,19,8,1,0,0
6,26,17,352,207,4,4,4,3,1,0,0
11,58,17,740,122,4,3,20,1,0,1,0
13,30,2,740,122,4,2,2,3,1,0,0
6,67,1,354,501,4,4,14,10,1,0,0
3,37,2,230,101,4,6,24,4,0,1,0
6,27,7,343,203,4,5,22,10,0,1,0
7,42,7,740,502,4,3,20,1,1,0,0
11,36,17,330,101,4,2,19,1,0,1,0
4,52,7,745,710,2,5,15,10,0,1,0
1,21,2,330,108,4,3,15,9,0,1,0
4,28,7,236,502,2,6,25,12,0,1,0
21,27,7,350,727,4,5,8,10,0,1,0
2,45,7,930,502,2,2,9,11,0,1,0
13,67,7,420,102,4,6,9,10,1,0,0
8,64,17,341,502,4,3,10,11,0,1,0
13,29,17,330,101,4,4,1,7,0,1,0
16,23,7,440,501,4,1,30,8,1,0,0
8,38,2,310,221,4,4,14,1,1,0,0
10,33,12,310,501,4,4,21,10,1,0,0
13,48,2,740,740,4,0,28,11,0,1,0
10,39,7,740,122,4,6,11,12,0,1,0
19,48,7,354,501,4,0,3,10,1,0,0
3,34,2,354,502,4,0,3,10,1,0,0
10,40,7,900,501,2,6,6,11,0,1,0
1,51,7,420,501,4,0,3,10,1,0,0
11,28,12,210,602,1,2,15,6,1,0,0
8,69,12,310,501,4,3,25,8,0,1,0
20,64,7,331,247,4,1,8,3,1,0,0
2,42,7,251,502,4,5,26,3,1,0,0
2,31,17,310,501,4,2,27,7,1,0,0
17,48,12,310,501,4,0,16,5,0,1,0
13,42,2,626,501,2,6,22,5,1,0,0
3,37,7,230,101,4,3,18,8,1,0,0
3,40,1,930,501,1,6,13,2,1,0,0
11,52,17,761,109,1,5,14,5,0,1,0
2,48,7,210,101,1,0,28,3,0,1,0
13,52,10,330,108,4,2,9,11,0,1,0
1,50,2,624,502,4,4,30,12,0,1,0
3,62,2,901,501,4,4,1,7,1,0,0
19,28,7,745,501,4,1,25,1,1,0,0
8,70,17,440,406,4,4,8,4,1,0,0
19,68,7,310,510,4,6,22,5,0,1,0
1,30,7,341,116,4,0,21,2,1,0,0
17,5,7,624,704,4,4,16,12,0,1,0
16,31,17,903,501,1,0,1,8,1,0,0
8,39,2,310,507,4,1,22,2,0,1,0
3,22,7,626,501,2,4,7,1,1,0,0
6,48,2,761,203,4,6,4,9,0,1,0
3,21,18,890,101,4,5,4,6,0,0,1
4,27,1,740,122,4,0,26,9,0,1,0
17,60,17,310,501,4,4,25,2,1,0,0
6,19,17,330,101,4,4,11,2,1,0,0
16,29,7,236,502,1,4,8,4,1,0,0
1,57,12,624,516,1,4,18,2,0,1,0
2,26,7,740,122,4,5,19,2,1,0,0
1,13,7,956,720,4,3,10,2,0,1,0
9,31,7,763,203,2,2,23,2,1,0,0
3,57,2,354,501,4,6,23,1,0,1,0
16,28,7,230,101,4,3,5,5,0,1,0
17,93,17,930,501,2,0,22,8,1,0,0
9,82,17,649,502,4,4,16,9,0,1,0
20,23,7,626,502,4,3,21,7,1,0,0
20,33,2,331,502,4,2,27,7,0,1,0
3,46,2,210,108,4,5,1,10,1,0,0
2,36,18,900,101,2,6,17,4,0,1,0
8,51,17,420,101,4,0,30,5,0,1,0
3,28,8,440,502,4,5,26,11,1,0,0
3,24,16,310,707,4,5,23,4,1,0,0
8,51,17,440,702,4,3,22,12,0,1,0
3,55,2,354,502,4,0,4,7,0,1,0
20,14,7,626,502,4,3,16,6,1,0,0
13,41,7,331,101,4,0,5,9,0,1,0
15,33,17,330,103,4,5,22,1,1,0,0
9,29,7,341,502,4,4,28,10,0,1,0
3,51,2,230,501,4,6,30,1,1,0,0
1,38,17,740,710,4,3,9,6,1,0,0
9,32,2,310,221,4,3,19,5,1,0,0
11,32,7,330,108,4,0,24,1,1,0,0
10,48,7,624,510,2,5,19,2,0,1,0
14,28,17,762,502,4,6,11,12,1,0,0
9,36,17,740,122,4,6,22,5,0,1,0
13,57,7,331,101,4,3,29,9,0,1,0
13,45,10,740,203,4,1,22,3,0,1,0
10,30,7,420,101,4,6,7,8,0,1,0
9,39,2,310,501,4,2,28,9,1,0,0
3,21,18,440,101,4,2,11,5,0,0,1
7,46,17,624,102,4,4,28,10,0,1,0
2,36,7,354,502,4,0,1,8,1,0,0
